ST_CASE,STATE,PEDS,VE_TOTAL,PERSONS,COUNTY,DAY_WEEK,HOUR,ROUTE,FUNC_SYS,LATITUDE,LONGITUD,TYP_INT,REL_ROAD,LGT_COND,WEATHER,FATALS,NUM_INJURED
10001,1,0,1,1,13,4,22,2,5,31.927975,-86.53883333,1,4,2,1,1,1
10002,1,0,1,1,97,2,2,4,7,30.50874444,-88.27321389,1,4,2,1,1,1
10003,1,0,1,1,89,7,22,4,5,34.73833333,-86.375825,1,4,2,1,1,1
10004,1,0,1,3,53,6,19,4,7,31.01478056,-86.74669444,1,4,2,2,1,3
10005,1,0,1,4,3,6,14,1,1,31.02740556,-87.6438,1,4,1,2,1,4
10006,1,0,1,1,121,5,5,4,7,33.22190556,-86.38474722,1,4,1,1,1,1
10007,1,0,2,2,95,5,5,4,5,34.44845556,-86.52765556,1,1,2,1,2,2
10008,1,0,1,2,123,4,11,3,5,33.02797222,-85.94111111,1,4,1,1,1,2
10009,1,0,1,3,119,7,1,3,3,32.38221389,-88.19781389,1,4,2,1,2,3
10010,1,0,2,4,85,5,18,4,5,32.10828056,-86.52649167,1,1,2,1,1,3
10011,1,0,1,1,133,2,18,3,5,34.10104444,-87.39218889,1,4,2,10,1,1
10012,1,0,1,1,1,3,14,2,4,32.51246111,-86.45651944,1,4,1,2,1,1
10013,1,0,2,4,3,1,2,4,5,30.56732222,-87.76065833,1,1,2,5,1,4
10014,1,1,1,1,73,2,17,6,4,33.409225,-86.97589444,1,1,2,1,1,1
10015,1,0,2,2,1,4,3,4,3,32.4605,-86.41808889,2,1,3,2,1,2
10016,1,0,1,4,95,2,2,6,5,34.26632222,-86.21219444,1,4,3,1,1,3
10017,1,0,2,2,95,1,21,3,4,34.24958333,-86.10768056,1,1,2,10,1,1
10018,1,1,1,1,33,1,17,6,4,34.75966667,-87.69033056,1,1,3,1,1,1
10019,1,0,2,2,83,4,9,4,5,34.88653056,-87.16217778,1,1,1,10,1,1
10020,1,0,2,5,81,6,17,2,3,32.66486389,-85.47311944,3,1,2,1,1,4
10021,1,0,1,2,125,7,0,4,5,33.13279167,-87.479475,1,4,2,10,1,2
10022,1,0,1,1,71,7,14,3,4,34.68618056,-86.121575,1,4,1,10,1,1
10023,1,0,2,2,97,7,16,4,7,30.62540278,-88.25841389,2,1,1,1,1,2
10024,1,1,1,1,71,7,21,4,5,34.67899722,-86.25980833,1,1,2,10,1,1
10025,1,0,1,1,73,7,23,1,1,33.35456111,-86.8531,1,3,2,1,1,1
10026,1,1,3,1,73,1,2,2,2,33.52293889,-86.79969722,1,1,3,10,1,2
10027,1,0,1,1,47,1,4,4,7,32.37151944,-87.01441389,1,4,2,10,1,1
10028,1,0,1,1,113,1,1,4,5,32.46204444,-85.22640556,1,4,2,1,1,1
10029,1,0,3,6,45,2,15,3,4,31.44830278,-85.69374444,1,1,1,1,1,3
10030,1,0,2,2,89,3,18,2,3,34.96879722,-86.56841389,3,1,3,1,1,2
10031,1,0,2,2,89,3,14,1,1,34.66165278,-86.78654167,1,3,1,1,2,2
10032,1,0,2,2,15,3,13,2,3,33.69981667,-85.80853056,3,1,1,1,1,2
10033,1,0,1,1,9,4,14,4,6,34.05989444,-86.60065,1,4,1,10,1,1
10034,1,0,2,2,97,4,5,4,5,30.983725,-88.12447222,1,1,2,1,1,1
10035,1,0,2,3,115,5,7,6,5,33.83238889,-86.28715556,1,1,1,10,1,3
10037,1,0,2,2,15,7,14,2,3,33.94964444,-85.66362778,1,1,1,1,1,2
10038,1,0,1,3,125,7,15,4,7,33.36641111,-87.434525,1,1,1,1,1,3
10039,1,1,2,1,97,7,15,1,1,30.56204167,-88.19935556,1,2,1,1,1,1
10040,1,0,2,5,49,1,0,1,1,34.43135278,-85.75604722,1,3,2,1,1,5
10041,1,0,1,3,97,1,20,6,4,30.71164167,-88.09763056,1,5,3,1,1,3
10042,1,1,1,2,97,2,5,4,3,30.55826111,-88.19546389,1,1,2,10,1,1
10043,1,0,1,1,115,2,18,4,5,33.73618611,-86.32035,1,4,2,10,1,1
10044,1,0,1,1,97,3,5,1,1,30.49578889,-88.33895278,1,4,2,10,1,1
10045,1,0,3,6,33,3,8,6,4,34.73041389,-87.68379722,3,1,1,10,1,3
10046,1,0,2,2,5,4,3,2,4,31.950225,-85.19660556,1,1,2,5,1,1
10047,1,0,2,2,19,4,9,3,3,34.24099167,-85.524275,1,1,1,1,1,2
10048,1,1,1,1,3,4,4,1,1,30.65873056,-87.89008889,1,1,2,5,1,1
10049,1,0,1,1,123,4,17,3,5,32.59830278,-85.80135278,1,1,2,1,1,1
10050,1,0,1,4,19,5,16,4,7,33.99073611,-85.59940556,1,4,1,1,2,4
10051,1,0,2,2,73,5,17,6,4,33.4757,-86.81571389,1,1,5,1,1,2
10052,1,1,1,2,73,5,20,2,3,33.43064444,-86.71108889,1,1,6,1,1,1
10053,1,0,1,1,43,6,19,4,6,34.28915556,-86.94586667,1,4,2,1,1,1
10054,1,1,1,1,73,6,21,1,1,33.391525,-86.78424167,1,1,2,1,1,1
10055,1,0,2,4,73,7,1,6,3,33.50821389,-86.82138889,2,1,3,1,1,1
10056,1,0,1,1,59,1,5,3,5,34.47698889,-88.06257222,1,4,2,2,1,1
10057,1,0,2,2,15,1,16,2,4,33.59725833,-85.93728611,1,1,5,2,1,2
10058,1,0,1,1,113,2,6,6,5,32.43374167,-84.980825,1,1,2,5,1,1
10059,1,0,2,2,71,3,10,3,5,34.86291389,-85.60091111,1,1,1,1,1,1
10060,1,0,2,3,15,3,12,4,4,33.69407778,-85.69881667,1,1,1,1,2,3
10061,1,1,1,1,101,3,17,6,4,32.42029444,-86.26848333,1,1,3,1,1,1
10062,1,1,1,1,81,3,23,1,1,32.58888056,-85.45861667,1,1,2,1,1,1
10063,1,1,1,1,97,6,17,6,3,30.651525,-88.161075,1,1,1,1,1,1
10064,1,0,2,2,73,4,9,3,4,33.79472222,-86.68668333,1,1,1,1,1,2
10065,1,0,1,2,83,6,11,3,4,34.85695278,-86.86068333,1,4,1,1,1,2
10066,1,0,2,2,51,6,22,4,5,32.51683056,-86.03111667,1,1,2,1,1,2
10067,1,0,1,2,103,7,16,4,6,34.32739444,-86.83042778,1,4,1,10,1,1
10068,1,0,1,1,97,7,23,4,7,30.55865833,-88.18529722,1,1,2,1,1,1
10069,1,0,2,2,73,2,17,3,3,33.63482222,-86.72802222,1,1,3,10,1,1
10070,1,0,2,2,97,2,5,1,1,30.62865,-88.11328611,1,1,3,5,1,1
10071,1,0,2,2,95,3,13,3,4,34.20255278,-86.29467778,1,1,1,2,1,2
10072,1,0,1,1,125,4,1,4,5,33.25660278,-87.67691111,1,4,2,2,1,1
10073,1,0,2,6,89,6,14,6,4,34.70668611,-86.74119722,1,1,1,1,1,6
10074,1,0,2,5,103,6,11,3,3,34.37916111,-87.09301667,2,1,1,1,1,3
10075,1,0,2,2,121,6,18,4,5,33.43168333,-86.30441944,1,1,2,1,1,2
10076,1,0,2,3,9,7,11,3,3,33.88259167,-86.64585278,1,1,1,1,1,2
10077,1,0,1,1,89,1,14,3,3,34.71773333,-86.56159444,1,4,1,1,1,1
10078,1,0,1,1,47,2,0,2,3,32.44000833,-87.25093333,1,4,2,1,1,1
10079,1,0,1,1,71,2,7,3,4,34.82382222,-85.78124444,1,1,4,5,1,1
10080,1,0,2,3,79,2,15,4,7,34.57604167,-87.22489167,2,1,1,1,1,3
10081,1,0,1,2,5,3,3,3,4,31.86375278,-85.3812,1,1,2,1,2,2
10082,1,1,1,1,83,3,22,1,1,34.99196389,-86.87931389,1,1,2,10,1,1
10083,1,0,2,2,39,3,10,3,4,31.44450278,-86.61530833,1,1,1,1,2,2
10084,1,0,2,2,7,3,6,3,4,32.90294167,-86.91511944,5,1,2,1,1,2
10085,1,1,2,1,13,4,19,4,5,31.80149722,-86.60899444,1,1,2,1,1,1
10086,1,1,1,2,73,4,4,6,7,33.51084722,-86.89278333,2,4,3,10,2,2
10087,1,0,2,3,73,6,10,1,1,33.54399722,-86.59818889,1,2,1,1,1,3
10088,1,1,1,1,109,6,19,2,3,31.762625,-85.89778056,1,1,2,2,1,1
10089,1,0,2,2,47,6,20,4,5,32.48700833,-86.89550278,1,1,2,1,1,2
10090,1,0,2,3,107,6,19,4,5,33.10176667,-88.13794722,1,1,2,1,1,3
10091,1,0,2,2,47,7,15,3,3,32.32043056,-87.38451667,1,1,1,2,1,2
10092,1,0,1,1,9,7,22,4,7,33.89684722,-86.39945278,1,4,2,2,1,1
10093,1,0,1,1,43,1,3,4,5,34.12026111,-86.89445556,1,4,2,2,1,1
10094,1,0,4,5,3,1,3,1,1,30.66147778,-87.86930556,1,1,2,2,1,2
10095,1,0,1,1,115,2,12,2,4,33.64202778,-86.27756389,1,4,1,1,1,1
10096,1,0,2,2,97,3,11,4,7,30.44721667,-88.21703611,3,1,1,1,1,1
10097,1,0,2,2,31,3,16,3,4,31.61463056,-85.98586667,1,1,1,1,1,2
10098,1,0,2,2,97,3,3,4,3,30.75671944,-88.225575,2,1,2,1,1,1
10099,1,0,2,2,93,3,18,2,4,33.94356667,-87.85076389,1,1,2,1,1,1
10100,1,1,3,4,73,4,3,1,1,33.54508056,-86.64946667,1,1,3,2,1,1
10101,1,0,1,1,47,4,7,4,5,32.5216,-86.89802222,1,4,1,10,1,1
10102,1,0,2,2,29,5,14,2,3,33.961025,-85.40671944,1,1,1,10,1,2
10103,1,0,1,1,73,6,9,6,4,33.54840556,-86.54384722,1,4,1,10,1,1
10104,1,0,1,1,73,6,16,1,1,33.54371389,-86.64268056,1,4,1,1,1,1
10105,1,0,1,1,53,6,21,4,5,31.1118,-86.95663611,1,4,2,1,1,1
10106,1,0,2,3,33,7,5,2,3,34.73095278,-87.85557778,3,1,2,1,1,1
10107,1,1,1,1,97,7,22,6,7,30.69010556,-88.07088056,2,1,3,1,1,1
10108,1,0,2,2,13,7,23,3,5,31.63543611,-86.57088333,1,1,2,1,1,2
10109,1,1,1,1,97,1,3,3,3,30.60879722,-88.07477222,1,1,3,1,1,1
10110,1,0,1,1,133,1,15,4,5,34.29135278,-87.58554722,1,4,1,1,1,1
10111,1,0,2,5,97,2,20,2,3,30.86085,-88.41430556,1,1,2,1,2,5
10112,1,0,1,1,73,2,20,4,5,33.69643056,-86.67257778,1,4,2,1,1,1
10113,1,0,1,1,47,3,0,4,5,32.42322222,-86.96154722,1,1,2,1,1,1
10114,1,0,1,2,73,3,11,4,5,33.60955833,-86.582325,1,4,1,2,1,2
10115,1,0,1,4,67,3,22,2,3,31.65925278,-85.28007222,1,4,2,1,2,4
10116,1,0,1,1,73,4,6,1,1,33.40629722,-86.79378889,1,3,1,10,1,1
10117,1,1,1,1,29,4,4,1,1,33.61588889,-85.667375,1,1,2,10,1,1
10118,1,0,1,2,109,4,14,4,5,31.73101111,-85.92028611,1,4,1,10,1,2
10119,1,0,1,1,15,4,21,4,5,33.72174167,-85.84368333,1,4,2,1,1,1
10120,1,0,2,4,63,6,3,2,5,32.92718056,-87.83540833,1,1,2,10,2,4
10121,1,0,1,1,33,6,10,3,4,34.75455556,-87.43285278,1,4,1,2,1,1
10122,1,0,2,2,71,6,22,2,3,34.74635,-85.91579722,1,1,2,1,1,1
10123,1,1,1,1,95,7,5,3,4,34.34753056,-86.45670278,1,1,2,10,1,1
10124,1,0,2,6,113,7,13,2,3,32.42660278,-85.03563056,2,1,1,1,1,6
10125,1,0,2,4,101,7,18,6,4,32.36308333,-86.29995556,3,1,3,1,1,3
10126,1,0,2,2,91,7,19,4,7,32.05815556,-87.79236944,1,1,2,1,1,2
10127,1,0,1,1,13,1,2,3,4,31.64095833,-86.73195833,1,4,3,1,1,1
10128,1,0,2,2,21,1,20,2,3,32.79348611,-86.90693889,1,1,2,1,1,2
10129,1,1,1,1,77,2,20,4,5,34.93186111,-87.78362778,1,1,2,1,1,1
10130,1,1,1,2,89,2,22,6,4,34.73284444,-86.78629444,2,1,3,1,1,1
10131,1,1,1,1,73,3,15,4,4,33.43939444,-86.941075,1,1,1,1,1,2
10132,1,0,2,3,51,3,12,2,3,32.52731389,-86.20610278,2,1,1,1,1,1
10133,1,0,2,3,133,3,9,4,5,34.29231944,-87.14398889,1,1,1,1,1,3
10134,1,0,2,2,125,3,15,6,3,33.19837222,-87.53890556,3,1,1,1,1,1
10136,1,0,1,1,99,5,23,6,7,31.46061944,-87.40509722,1,4,2,10,1,1
10137,1,0,1,1,7,5,19,4,5,33.026675,-87.18549167,1,4,2,2,1,1
10138,1,1,1,1,109,5,18,2,3,31.77713056,-85.9359,1,1,3,2,1,1
10139,1,0,2,3,45,6,10,2,3,31.45915,-85.66834444,3,1,1,10,2,2
10140,1,1,1,1,93,6,9,2,4,34.21835833,-87.91235556,1,1,1,10,1,1
10141,1,1,1,1,39,6,19,2,3,31.30485833,-86.39624444,1,1,2,1,1,2
10142,1,0,1,1,25,6,19,2,3,31.75111944,-88.03578056,1,4,2,1,1,1
10143,1,0,2,2,97,7,21,2,3,30.83153889,-88.38606111,1,1,2,10,1,2
10144,1,0,2,3,89,1,10,3,3,34.88470556,-86.73896944,2,1,1,1,1,3
10145,1,0,1,1,15,1,12,4,7,33.76604167,-85.71595,1,4,1,1,1,1
10146,1,0,2,3,73,4,7,1,1,33.66527778,-86.83144167,1,1,1,2,1,2
10147,1,0,2,3,47,7,4,2,3,32.34248611,-86.95635556,1,1,2,10,1,1
10148,1,0,2,2,39,4,10,2,3,31.22368056,-86.28018611,1,1,1,1,1,2
10149,1,0,2,2,97,4,9,6,5,30.87748889,-88.12364722,1,1,1,1,1,2
10150,1,0,2,2,121,1,17,3,3,33.34208889,-86.18749722,2,1,5,1,1,2
10151,1,0,1,2,89,1,17,4,4,34.90190556,-86.67381667,1,4,5,1,1,2
10152,1,0,2,2,73,1,17,6,4,33.53560556,-86.71984444,3,1,5,1,1,1
10153,1,0,2,2,95,3,15,3,4,34.15887222,-86.35254167,2,1,1,1,1,1
10154,1,0,2,3,3,3,18,3,3,30.56745,-87.85224722,2,1,2,1,1,3
10155,1,0,3,4,91,5,0,2,3,32.45683611,-87.5422,1,1,2,10,1,4
10156,1,0,2,3,89,5,10,6,4,34.713825,-86.62693889,1,1,1,2,2,3
10157,1,0,1,2,115,5,19,2,4,33.69071111,-86.28174444,1,4,2,2,1,1
10158,1,0,1,1,83,5,22,4,5,34.94210278,-87.09398333,1,4,2,10,1,1
10159,1,0,2,2,73,6,0,1,1,33.63563889,-86.95567778,1,1,2,10,1,2
10160,1,0,3,5,9,6,13,2,4,33.94232222,-86.41411944,3,1,1,1,2,3
10161,1,0,1,1,97,7,2,4,4,30.66173611,-88.24159722,5,3,3,1,1,1
10162,1,0,1,1,133,7,12,3,5,34.04401111,-87.38936667,1,4,1,10,1,1
10163,1,1,1,1,47,7,17,4,5,32.23155278,-87.23378056,1,1,1,1,1,1
10164,1,0,2,6,71,7,21,3,4,34.63437222,-85.90679722,1,1,2,2,1,6
10165,1,0,1,2,41,7,22,3,4,31.73565,-86.37991944,1,4,2,1,1,2
10166,1,0,1,1,73,1,13,1,1,33.44984167,-86.81782778,1,4,1,2,1,1
10167,1,0,1,3,101,3,14,1,1,32.36533056,-86.285675,1,1,1,1,1,3
10168,1,0,1,3,103,2,14,4,5,34.47348611,-86.63823056,1,4,1,1,1,3
10169,1,0,1,2,73,6,12,4,5,33.68173056,-86.68076667,1,4,1,10,1,2
10170,1,1,2,1,73,7,4,6,5,33.59154722,-86.71340278,1,1,2,1,1,1
10171,1,1,3,5,73,1,1,1,1,33.4863,-86.82565,1,1,2,1,1,2
10172,1,1,1,1,77,3,22,6,3,34.80740556,-87.641425,2,1,3,1,1,1
10173,1,0,1,1,53,4,20,6,7,31.00565833,-87.30811944,1,4,2,1,1,1
10174,1,0,2,3,55,5,14,3,3,33.96003889,-86.04441667,2,1,1,1,1,1
10175,1,0,1,1,5,7,18,6,5,31.87364722,-85.14496389,1,4,5,1,1,1
10176,1,0,2,4,9,7,21,3,4,33.96990556,-86.45189444,3,1,3,1,2,4
10177,1,1,1,2,9,7,13,6,7,33.890475,-86.75497222,1,1,1,1,1,1
10178,1,0,2,7,127,1,14,1,1,33.94855278,-87.60008889,1,1,1,1,1,6
10179,1,1,1,1,101,1,5,6,5,32.32232778,-86.23848333,1,1,2,1,1,1
10180,1,1,1,2,5,1,19,2,3,31.87872778,-85.1487,1,1,3,1,1,1
10181,1,0,2,7,111,4,16,3,4,33.15035278,-85.32857778,1,1,1,1,2,7
10182,1,0,1,1,49,4,16,4,5,34.38587778,-85.74358056,1,4,1,10,1,1
10183,1,0,1,1,25,5,5,4,5,31.61222222,-87.68512778,1,4,4,5,1,1
10184,1,1,1,1,3,5,13,2,3,30.823325,-87.77396667,1,2,1,1,1,1
10185,1,0,2,2,95,5,15,2,3,34.48776944,-86.38196667,3,1,1,1,1,2
10186,1,0,1,1,3,7,11,2,3,30.79285556,-87.77043611,1,1,1,10,1,1
10187,1,0,1,1,77,7,12,4,6,34.79925278,-87.29503056,1,4,1,1,1,1
10188,1,0,1,1,91,7,13,2,3,32.45041111,-87.95627778,1,4,1,1,1,1
10189,1,0,1,1,115,7,19,1,1,33.60452222,-86.22931111,1,1,2,1,1,1
10190,1,0,1,1,133,1,9,3,5,34.23339722,-87.35983056,1,4,1,1,1,1
10191,1,0,2,5,101,1,11,6,3,32.30206389,-86.20641944,3,1,1,10,1,5
10192,1,1,1,1,15,2,13,96,96,33.61437778,-85.79505833,1,1,1,1,1,1
10193,1,0,1,1,3,3,6,1,1,31.01538889,-87.66123333,1,4,1,2,1,1
10194,1,1,1,1,97,3,6,3,3,30.68218056,-88.06702222,1,1,3,2,1,1
10195,1,0,2,3,43,3,18,3,3,34.23763611,-86.94045833,3,1,1,1,1,3
10196,1,1,1,1,97,3,22,6,4,30.70258889,-88.11945556,1,1,3,1,1,1
10197,1,0,2,2,97,3,15,6,7,30.63997778,-88.19743056,1,1,1,10,1,1
10198,1,0,2,4,125,4,23,3,3,33.05518889,-87.57994444,3,1,2,10,1,3
10199,1,0,2,7,77,5,9,3,5,34.95345,-87.46639444,1,1,1,1,2,7
10200,1,0,1,2,77,5,14,4,5,34.88744444,-87.843025,1,4,1,1,1,1
10201,1,0,2,2,25,6,4,2,3,31.64813333,-87.81568333,1,1,2,1,1,1
10202,1,0,1,1,65,6,2,3,5,32.84525556,-87.73315556,1,4,2,10,1,1
10203,1,0,2,2,49,6,11,3,4,34.30816667,-86.09114167,1,1,1,1,1,1
10204,1,0,3,9,63,6,13,1,1,32.74203056,-88.09298056,1,1,1,1,1,8
10205,1,0,1,2,125,7,15,4,7,33.25565833,-87.37888056,1,4,1,1,1,2
10206,1,0,2,2,125,7,17,1,1,33.05521944,-87.71248611,1,2,1,1,1,1
10207,1,0,3,4,97,1,2,1,1,30.56998056,-88.18816389,1,1,2,1,2,2
10208,1,0,2,2,73,1,13,6,3,33.54269722,-86.74965833,1,1,1,1,1,1
10209,1,1,1,1,87,1,22,4,5,32.28925556,-85.46988611,1,1,3,1,1,1
10210,1,0,1,1,133,1,17,4,7,34.2695,-87.21106111,1,4,1,1,1,1
10211,1,1,2,1,125,1,0,6,4,33.17536389,-87.52210833,1,1,3,1,1,1
10212,1,0,2,2,127,2,21,3,5,33.924275,-87.24282778,1,1,2,10,1,2
10213,1,0,2,2,125,3,15,4,4,33.21356389,-87.48693333,3,1,1,1,1,1
10214,1,0,2,3,101,3,17,2,3,32.1923,-86.11734167,3,1,1,1,1,2
10215,1,0,1,1,107,3,6,4,7,33.51481944,-88.194725,1,4,1,1,1,1
10217,1,0,2,2,49,4,0,3,4,34.32513889,-86.06371389,1,1,2,1,1,2
10218,1,0,2,4,1,4,14,4,5,32.59136111,-86.43779167,1,1,1,1,2,3
10219,1,0,1,5,53,4,21,4,6,31.17295278,-86.85440556,1,4,2,1,1,5
10220,1,0,1,1,73,4,6,4,5,33.71103056,-86.85287222,1,4,1,1,1,1
10221,1,0,2,2,73,4,23,1,1,33.52091389,-86.84924722,1,1,3,1,1,1
10222,1,1,1,1,95,3,0,2,3,34.21278889,-86.15603611,1,1,3,2,1,1
10223,1,0,1,2,97,5,5,4,4,30.78888611,-88.20849167,1,4,4,1,2,2
10224,1,0,2,1,101,5,18,1,1,32.36548333,-86.2835,1,1,5,2,1,1
10225,1,0,1,1,9,6,13,4,6,33.97066667,-86.39793611,1,4,1,2,1,1
10226,1,1,2,2,95,6,21,4,5,34.2383,-86.28931667,1,4,2,10,1,1
10227,1,0,1,1,85,6,23,1,1,31.9959,-86.52477778,1,4,2,1,1,1
10228,1,0,1,1,97,7,8,2,4,30.467675,-88.38431389,1,4,1,2,1,1
10229,1,0,1,1,53,1,7,1,1,31.09799444,-87.51480278,1,4,1,1,1,1
10230,1,0,1,1,33,3,10,4,7,34.71798611,-87.790125,1,1,1,1,1,1
10231,1,0,3,7,97,1,19,2,3,31.01310833,-88.02425278,1,1,5,1,1,2
10232,1,0,2,2,35,3,8,2,3,31.414825,-86.79200556,1,1,1,1,1,2
10233,1,0,2,2,5,5,5,3,4,31.71151111,-85.68725833,1,1,2,10,1,2
10234,1,0,4,4,89,5,21,1,1,34.67882778,-86.73914167,1,1,3,2,1,2
10235,1,0,2,6,73,5,8,6,7,33.45606389,-86.94409167,2,1,1,2,1,3
10236,1,1,1,1,99,5,21,4,5,31.51096667,-87.39409722,1,1,2,1,1,1
10237,1,0,2,2,69,5,17,3,3,31.200225,-85.43513333,2,1,1,1,1,1
10238,1,1,1,2,97,7,2,2,3,30.71783056,-88.13570833,1,1,3,1,1,1
10239,1,0,2,2,125,7,0,2,3,33.24051389,-87.66241389,1,1,2,1,1,2
10240,1,0,1,1,9,1,18,4,7,34.21295833,-86.51796111,1,4,1,1,1,1
10241,1,0,2,5,125,7,1,2,3,33.17344722,-87.47534444,1,1,3,1,2,4
10242,1,0,1,1,83,6,20,2,3,34.759875,-86.95723889,1,3,2,1,1,1
10243,1,0,1,3,81,1,2,4,6,32.54864167,-85.16531389,1,4,2,1,1,1
10244,1,0,2,2,9,2,14,3,4,33.90036944,-86.736225,1,1,1,1,1,1
10245,1,0,1,2,17,2,18,4,7,33.09184444,-85.24541389,1,4,2,1,1,2
10246,1,0,1,2,19,5,14,3,4,34.21815556,-85.60258611,1,4,1,1,1,2
10247,1,0,1,1,117,5,18,4,4,33.29,-86.84011944,1,4,5,1,1,1
10248,1,0,2,2,95,6,8,2,3,34.28836389,-86.23980556,3,1,1,1,1,2
10249,1,1,1,1,121,6,3,3,3,33.53256667,-85.93977222,1,1,2,1,1,1
10250,1,0,2,3,73,7,22,4,4,33.42205278,-87.00053333,1,1,2,1,1,3
10251,1,0,1,1,105,7,21,3,5,32.67515556,-87.22371944,1,4,2,1,1,1
10252,1,0,1,1,83,7,0,4,5,34.77585278,-87.01608056,1,4,2,1,1,1
10253,1,0,1,1,125,7,21,1,1,33.17735,-87.38298056,1,4,2,1,1,1
10254,1,0,2,2,3,1,3,1,1,30.658575,-87.88961944,1,1,2,1,1,2
10255,1,0,1,1,61,1,2,4,7,31.09769722,-86.03608333,1,4,2,1,1,1
10256,1,0,1,3,25,1,10,2,3,31.83407778,-87.74944167,1,4,1,1,1,3
10257,1,1,2,1,97,1,11,3,3,30.61974167,-88.07795278,1,1,1,1,1,1
10258,1,0,1,2,127,2,16,4,4,33.98928889,-87.336475,1,1,1,1,1,2
10259,1,0,3,3,103,3,14,3,3,34.44099444,-86.97230556,3,1,1,10,1,3
10260,1,0,1,1,117,4,23,4,7,33.28020556,-86.89651667,1,4,2,1,1,1
10261,1,0,2,5,55,4,22,1,1,34.00498333,-86.07986944,1,1,3,1,5,5
10262,1,0,1,1,97,4,18,6,5,30.63161389,-88.10510556,1,1,1,1,1,1
10263,1,1,1,1,61,6,21,6,4,31.09615278,-85.59116667,1,1,2,1,1,1
10264,1,1,1,1,109,7,3,2,3,31.75370833,-85.87965556,1,1,2,1,1,1
10265,1,1,1,1,127,6,20,3,5,33.93741389,-87.22449167,1,1,2,1,1,1
10266,1,0,1,1,79,7,13,4,4,34.33632222,-87.19812778,1,4,1,1,1,1
10267,1,0,1,1,55,7,14,2,3,34.05202222,-86.16516944,1,4,1,1,1,1
10268,1,0,1,1,71,1,1,4,5,34.71796944,-86.034125,1,4,2,2,1,1
10269,1,0,1,1,97,1,18,6,7,30.6885,-88.064125,3,4,1,1,1,1
10270,1,0,1,3,3,2,2,3,5,30.26020556,-87.68253333,1,4,2,1,1,3
10271,1,0,2,4,121,7,14,4,7,33.50325556,-86.10652778,2,1,1,1,2,3
10272,1,1,1,4,101,1,23,1,1,32.40815278,-86.34554722,1,2,2,1,1,1
10273,1,0,2,2,105,1,17,3,3,32.62038333,-87.30896944,1,1,1,1,1,1
10274,1,0,2,2,97,2,11,4,7,30.72359167,-88.27616111,1,1,1,1,1,2
10275,1,0,1,2,71,2,14,3,5,34.84959444,-85.62011111,1,1,1,1,1,1
10276,1,0,1,1,73,3,0,4,7,33.51029167,-87.25708889,1,4,2,1,1,1
10277,1,1,1,1,41,3,16,4,7,31.46946111,-86.39556667,3,1,1,1,1,1
10278,1,0,1,1,79,4,6,4,5,34.47435833,-87.15837778,1,4,1,1,1,1
10279,1,1,1,2,89,5,4,6,7,34.67017222,-86.75208611,1,1,2,1,1,1
10280,1,0,2,2,127,5,7,6,5,33.87718056,-87.2368,1,1,1,1,1,2
10281,1,0,2,3,101,6,5,6,3,32.30173056,-86.19528889,3,1,4,1,1,3
10282,1,0,1,2,125,7,17,4,7,33.07967778,-87.55817222,1,4,1,10,1,1
10283,1,0,1,1,101,7,0,6,3,32.38181111,-86.22485278,1,4,3,1,1,1
10284,1,0,2,4,101,1,17,6,3,32.362525,-86.24419722,2,1,1,1,1,3
10285,1,0,4,10,43,1,22,1,1,34.14895,-86.86990278,1,1,2,1,1,1
10286,1,0,2,4,121,1,19,4,5,33.57275,-86.16856667,2,1,5,1,1,3
10287,1,1,1,2,31,2,19,3,4,31.32508333,-85.82336944,1,1,3,10,1,1
10288,1,1,1,1,97,2,2,6,4,30.594125,-88.16603611,1,1,3,10,1,1
10289,1,0,1,2,97,2,0,1,1,30.63390556,-88.11848611,1,3,3,1,1,2
10290,1,1,1,1,43,3,19,96,96,34.18274444,-86.84912778,1,1,1,1,1,1
10291,1,0,1,1,89,4,10,3,3,34.70052778,-86.517425,1,1,1,1,1,1
10293,1,0,1,1,97,2,2,4,7,30.874525,-88.30185556,1,4,2,1,1,1
10294,1,0,1,1,73,1,4,4,7,33.52585278,-87.23676111,1,4,2,5,1,1
10295,1,1,1,1,121,1,0,3,4,33.46880556,-86.05851111,1,1,2,1,1,1
10296,1,0,1,4,41,7,19,4,5,31.96480278,-86.31306944,2,4,2,1,1,1
10297,1,1,1,1,97,6,20,6,4,30.74913333,-88.11566111,1,1,2,10,1,1
10298,1,0,2,4,101,6,20,6,3,32.31002222,-86.22023333,3,1,3,1,1,3
10299,1,0,4,7,43,2,8,1,1,34.30784167,-86.90507222,1,1,1,1,1,3
10300,1,0,1,1,21,6,2,3,4,32.91271667,-86.60951111,1,4,2,2,1,1
10301,1,0,1,1,77,5,5,4,7,34.89636389,-87.38943333,1,4,4,10,1,1
10302,1,0,2,2,103,6,4,3,3,34.46694722,-86.78906389,1,1,2,10,1,2
10303,1,0,2,3,117,5,10,4,4,33.38766944,-86.64275556,1,1,1,10,1,1
10304,1,0,4,7,121,3,17,3,3,33.30173611,-86.19824167,1,1,1,10,1,5
10305,1,0,1,1,35,1,15,4,6,31.56356111,-86.94518611,1,4,1,1,1,1
10306,1,0,1,1,117,7,1,1,1,33.21745278,-86.80243056,1,4,2,1,1,1
10307,1,0,1,1,117,7,2,4,4,33.232275,-86.85979444,1,4,2,1,1,1
