ST_CASE,STATE,PEDS,VE_TOTAL,PERSONS,COUNTY,DAY_WEEK,HOUR,ROUTE,FUNC_SYS,LATITUDE,LONGITUD,TYP_INT,REL_ROAD,LGT_COND,WEATHER,FATALS,NUM_INJURED
60209,6,0,2,2,15,4,16,2,3,41.81774167,-124.145975,1,1,1,4,1,2
60210,6,0,3,3,41,7,13,3,4,37.93468611,-122.69754167,2,1,1,1,1,3
60212,6,0,2,3,99,4,20,3,3,37.78863889,-120.86388889,3,1,2,1,1,2
60213,6,0,1,4,99,6,21,0,7,37.66640833,-120.774725,1,4,2,1,1,2
60214,6,1,1,1,71,1,5,3,3,34.13489444,-116.32164167,1,1,2,1,1,1
60215,6,0,1,1,45,3,7,2,3,39.29984444,-123.28720833,1,4,1,2,1,1
60216,6,0,3,4,101,3,12,3,3,39.142975,-121.77598611,1,1,1,1,2,4
60217,6,0,2,2,101,4,20,3,3,39.05930278,-121.63355278,1,1,2,1,2,2
60218,6,1,2,2,53,6,22,2,2,36.78929444,-121.66771667,1,1,2,10,1,1
60219,6,0,1,1,107,1,19,0,5,36.38427778,-119.13541944,1,4,2,1,1,1
60221,6,2,2,2,65,6,1,3,2,34.00481111,-117.41079167,1,1,2,1,1,2
60222,6,0,1,4,29,5,0,2,3,35.491725,-117.66026389,1,4,2,4,1,4
60224,6,0,2,3,93,4,5,2,3,41.95721667,-121.92159167,1,1,2,1,1,3
60225,6,0,2,2,85,5,19,2,2,37.029275,-121.57060556,1,1,5,1,1,2
60226,6,0,2,3,17,5,15,2,3,38.77631944,-120.46446667,1,4,1,1,2,3
60227,6,0,1,2,37,4,2,3,4,34.45810278,-117.67070278,1,4,2,1,1,2
60228,6,0,1,1,71,6,2,1,1,34.40595556,-117.39630278,1,4,2,1,1,1
60229,6,1,1,1,39,7,11,4,5,37.36369722,-119.61814167,1,1,1,1,1,1
60230,6,0,2,9,19,7,22,0,5,36.66359722,-119.69988611,2,1,3,1,1,6
60231,6,0,2,4,95,4,8,0,4,38.26499444,-122.00526944,1,1,1,1,1,3
60233,6,1,1,2,71,3,20,0,7,34.48965,-117.34259167,1,1,2,1,1,1
60234,6,0,1,2,37,7,2,3,2,34.61511111,-118.15331944,1,3,2,1,1,2
60235,6,0,4,8,61,7,17,3,2,38.78633889,-121.28393611,1,1,1,1,1,8
60236,6,0,2,2,9,7,11,3,4,38.17976111,-120.9596,3,1,1,1,1,2
60238,6,0,1,1,65,5,16,3,3,33.94185556,-117.08927222,1,3,1,1,1,1
60239,6,1,1,1,29,4,22,0,5,35.44545833,-119.02576389,1,1,2,2,1,1
60240,6,0,2,4,29,2,18,0,5,34.82005,-118.955975,1,1,2,2,1,4
60241,6,0,1,1,73,2,17,3,4,33.28966667,-116.89132222,1,4,1,1,1,1
60242,6,0,2,2,101,1,12,3,3,39.06900833,-121.63338889,2,1,1,10,1,1
60243,6,0,1,2,71,1,23,1,1,34.54231667,-117.30566111,1,8,3,1,1,2
60244,6,1,1,1,77,6,6,0,7,37.81303056,-120.95555833,1,1,4,1,1,1
60245,6,0,1,1,99,7,3,0,7,37.31492778,-121.04921667,1,4,2,1,1,1
60246,6,0,2,2,107,5,5,3,4,35.92136389,-119.42720278,1,1,4,1,1,1
60249,6,0,2,2,19,7,13,3,2,36.75321389,-119.70922778,1,1,1,1,1,1
60251,6,0,2,6,37,2,17,3,3,34.77603056,-118.32556944,2,1,1,1,2,6
60252,6,0,1,1,61,1,19,1,1,39.20333611,-120.79703056,1,4,2,1,1,1
60254,6,0,2,3,59,5,6,3,2,33.85471389,-117.87542222,1,3,1,2,1,2
60257,6,0,1,1,65,6,3,3,3,33.86057222,-116.55974167,1,4,2,1,1,1
60258,6,0,2,2,109,5,9,3,3,37.86246389,-120.51187222,1,1,1,1,1,2
60259,6,0,1,1,37,7,2,0,4,34.57986111,-117.95109722,1,4,3,1,1,1
60260,6,0,1,2,73,6,19,3,2,32.71650278,-117.11960833,1,4,5,1,1,2
60261,6,0,3,7,113,7,18,1,1,38.55411944,-121.68981111,1,1,3,1,1,1
60262,6,0,2,2,65,1,18,1,1,33.93130278,-116.82535278,1,1,2,1,1,2
60263,6,0,1,4,29,2,1,0,5,35.34670556,-118.99761111,1,4,3,10,1,4
60264,6,1,1,1,29,7,1,3,3,35.45445,-119.07477778,1,1,2,10,1,1
60266,6,0,1,1,71,1,3,3,4,34.21385833,-117.07895278,1,4,3,2,1,1
60267,6,0,4,7,77,1,10,1,1,38.10171944,-121.38889722,1,1,1,1,1,3
60268,6,0,1,1,65,3,23,3,3,33.67108333,-117.084725,2,4,3,5,1,1
60270,6,0,1,1,73,7,1,0,4,33.33200833,-117.23597778,1,4,2,1,1,1
60271,6,0,2,3,65,6,17,0,4,33.64209722,-116.16937778,1,1,2,1,2,2
